,links,titulos
91,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/27/ciro-diz-quer-um-vice-do-sudeste-e-confirma-convite-a-nome-cotado-pelo-pt.htm,Estadão Conteúdo - Política
92,http://www.band.com.br/noticias/eleicoes/conteudo.asp?ID=100000911269&t=alckmin-nao-vislumbra-nova-disputa-contra-lula-nas-eleicoes-deste-ano, Pré-campanha de Bolsonaro intensifica aproximação com evangélicos 
93,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/04/27/a-sindicalistas-alckmin-diz-ser-contra-privatizacao-de-caixa-e-bb.htm,Estadão Conteúdo - Política
94,http://congressoemfoco.uol.com.br/noticias/ciro-convida-para-vice-empresario-que-era-cotado-pelo-pt-para-compor-chapa-de-lula/," Presidenciáveis 'liberais"" fazem investida por eleitorado evangélico "
95,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/27/alckmin-afirma-que-nao-teve-contato-com-presidente-temer.htm,Estadão Conteúdo - Política
96,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/27/skaf-cobra-apoio-de-temer-na-disputa-em-sp.htm, Crítica a presidente do PSB e elogios a Lula e Getúlio: Barbosa no Twitter 
97,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/04/27/prazo-para-tirar-e-regularizar-titulo-de-eleitor-termina-no-dia-9-de-maio.htm,do UOL
98,https://noticias.uol.com.br/politica/ultimas-noticias/2018/04/27/em-programa-de-governo-para-as-eleicoes-pt-defende-referendo-revogatorio-de-ajustes-de-temer-ampliacao-de-estatais-e-volta-do-desenvolvimentismo.htm, Marina: Fará bem à sociedade se PT e PSDB tirarem 'período sabático' 
99,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/04/27/parece-eleicao-de-sindico-em-predio-desabando-diz-guru-de-eduardo-campos.htm,Band
100,http://painel.blogfolha.uol.com.br/?p=22240," Haddad vê Barbosa candidato, e Ciro tem dúvidas; ministro busca apoio no PSB "
101,http://painel.blogfolha.uol.com.br/?p=22239,Folha.com - Brasil
102,http://congressoemfoco.uol.com.br/noticias/romario-nega-ter-tentado-nova-eleicao-no-meio-do-mandato-para-beneficiar-suplente-fake-news/," Com Pimentel ameaçado de impeachment, Dilma rechaça concorrer ao governo "
103,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/26/bolsonaro-mira-em-evangelicos-em-agenda-politica.htm,Folha.com - Brasil
104,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/04/26/pre-candidato-temer-comeca-a-intensificar-viagens-para-defender-governo.htm," Romário nega ter tentado nova eleição no meio do mandato para beneficiar suplente: ""Fake news"" "
105,https://noticias.uol.com.br/politica/ultimas-noticias/2018/04/26/pimentel-diz-ver-com-estranheza-pedido-de-impeachment-contra-ele.htm,Congresso em Foco
106,https://noticias.uol.com.br/politica/ultimas-noticias/2018/04/26/pt-cita-golpe-e-nao-cre-em-impeachment-contra-pimentel-oposicao-se-diz-serena.htm, Bolsonaro mira em evangélicos em agenda política 
107,http://congressoemfoco.uol.com.br/opiniao/colunistas/a-liberdade-de-lula-no-%e2%80%9csim%e2%80%9d-de-haddad/,Estadão Conteúdo - Política
108,https://noticias.uol.com.br/politica/ultimas-noticias/2018/04/26/assembleia-de-mg-autoriza-abertura-de-processo-de-impeachment-contra-pimentel.htm," Pré-candidato, Temer começa a intensificar viagens para defender governo "
109,http://www.band.com.br/noticias/eleicoes/conteudo.asp?ID=100000911142&t=ciro-gomes-voce-acha-que-um-marginal-como-cunha-me-derrubaria,do UOL
110,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/26/voce-acha-que-um-marginal-como-cunha-me-derrubaria-pergunta-ciro.htm," Pimentel diz ver com ""estranheza"" pedido de impeachment contra ele "
111,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/04/26/psb-na-camara-exalta-joaquim-barbosa-e-diz-torcer-por-candidatura.htm,UOL Notícias - Política
112,https://noticias.uol.com.br/politica/ultimas-noticias/2018/04/26/apos-decisao-do-stf-moro-diz-que-ha-outras-provas-alem-das-delacoes-em-acoes-contra-lula.htm," PT cita ""golpe"" e não crê em impeachment contra Pimentel; oposição se diz ""serena"" "
113,http://congressoemfoco.uol.com.br/noticias/joaquim-barbosa-diz-ser-contra-posicoes-ultraliberais-e-solucoes-livrescas/,UOL Notícias - Política
114,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/04/26/tse-aprova-mudanca-de-nome-do-pen-para-patriota.htm," A liberdade de Lula no ""sim"" de Haddad "
115,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/26/joaquim-barbosa-diz-ser-contra-posicoes-ultraliberais.htm,Congresso em Foco
116,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/26/temer-e-psdb-negociam-chapa-alckmin-meirelles-para-unificar-centro.htm, Assembleia de MG autoriza abertura de processo de impeachment contra Pimentel 
117,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/26/fhc-diz-na-tv-que-escandalo-de-aecio-pode-abalar-campanha-de-alckmin.htm,UOL Notícias - Cotidiano
118,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/bbc/2018/04/26/todos-os-servicos-publicosdeveriam-ser-privatizados-diz-joao-amoedo.htm, Ciro Gomes: você acha que um marginal como Cunha me derrubaria? 
119,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/bbc/2018/04/26/nao-e-possivel-governar-para-todos-mercado-que-tome-rivotril-diz-boulos.htm,Band
120,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/04/26/sem-paes-e-devastado-pela-lava-jato-mdb-rj-apostara-em-candidatura-nanica.htm," Você acha que um marginal como Cunha me derrubaria?, pergunta Ciro Gomes "
121,https://www3.uol.com.br/uolmais/2018/04/26/picciani-diz-que-indecisao-de-paes-sobre-candidatura-o-levou-a-sair-do-mdb.htm,Estadão Conteúdo - Política
122,https://www1.folha.uol.com.br/poder/2018/04/em-campanha-doria-conta-com-pm-que-o-auxiliava-na-prefeitura.shtml, PSB na Câmara exalta Joaquim Barbosa e diz torcer por candidatura 
123,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/04/25/tre-sp-recebe-inquerito-contra-geraldo-alckmin.htm,do UOL
124,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/25/meirelles-diz-que-nao-e-politico-tradicional-e-que-representa-renovacao.htm," Após decisão do STF, Moro diz que há ""outras provas"" além das delações em ações contra Lula "
125,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/25/lider-de-pesquisa-ibope-para-senadores-datena-empolga-dem.htm,UOL Notícias - Política
126,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/25/alckmin-acredito-no-julgamento-popular-e-nao-duvido-que-vamos-crescer.htm," Joaquim Barbosa diz ser contra ""posições ultraliberais"" e ""soluções livrescas"" "
127,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2018/04/25/decisao-do-stf-abre-brecha-para-lula-anular-condenacao-afirmam-especialistas.htm,Congresso em Foco
128,https://noticias.uol.com.br/politica/ultimas-noticias/2018/04/25/defesa-pede-que-moro-envie-de-imediato-acoes-contra-lula-para-sao-paulo.htm, TSE aprova mudança de nome do PEN para Patriota 
129,https://noticias.uol.com.br/politica/ultimas-noticias/2018/04/25/mpf-diz-que-decisao-de-stf-causara-lamentavel-tumulto-e-que-nao-invalida-depoimentos-de-delatores.htm,do UOL
130,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2018/04/25/pgr-avalia-recorrer-da-decisao-que-tirou-de-moro-mencoes-da-odebrecht-a-lula.htm, PGR avalia recorrer da decisão que tirou de Moro menções da Odebrecht a Lula 
131,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/25/o-foco-e-chegar-ao-segundo-turno-diz-meirelles.htm,Estadão Conteúdo - Política
132,https://noticias.uol.com.br/politica/ultimas-noticias/2018/04/25/apos-tse-barrar-romario-diz-que-nunca-pensou-em-reeleicao-no-meio-do-mandato.htm," O foco é chegar ao segundo turno, diz Meirelles "
133,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/25/apos-ibope-tasso-jereissati-diz-que-alckmin-precisa-arrumar-palanque-em-sp.htm,Estadão Conteúdo - Política
134,https://noticias.uol.com.br/politica/ultimas-noticias/2018/04/25/a-lei-e-para-todos-diz-alckmin.htm," Após TSE barrar, Romário diz que nunca pensou em reeleição no meio do mandato "
135,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/04/25/com-mdb-indeciso-meirelles-confirma-presenca-como-pre-candidato-em-evento.htm,UOL Notícias - Política
136,http://www.band.com.br/noticias/eleicoes/conteudo.asp?ID=100000910884&t=skaf-temer-me-estimulou-a-ser-candidato," Após Ibope, Tasso Jereissati diz que Alckmin precisa arrumar palanque em SP "
137,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/25/sem-lula-bolsonaro-e-alckmin-estao-empatados-em-sp-aponta-ibope.htm,Estadão Conteúdo - Política
138,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/25/imagem-de-barbosa-melhora-em-relacao-a-marco-aponta-ipsos.htm," A Justiça é para todos, diz Alckmin sobre situação de Eduardo Azeredo "
139,http://congressoemfoco.uol.com.br/noticias/defensor-da-lava-jato-flavio-rocha-doou-para-politicos-investigados-na-lava-jato/,UOL Notícias - Política
140,https://noticias.uol.com.br/politica/ultimas-noticias/2018/04/25/lula-tem-regime-igual-ao-de-outros-presos-da-lava-jato-no-pr.htm," Com MDB indeciso, Meirelles confirma presença como pré-candidato em evento "
141,http://www.band.com.br/noticias/eleicoes/conteudo.asp?ID=100000910863&t=ciro-gomes-nega-chapa-com-haddad-e-preciso-respeitar-o-tempo-do-pt,do UOL
142,http://congressoemfoco.uol.com.br/noticias/tse-proibe-romario-de-concorrer-ao-senado-na-metade-do-mandato-ideia-era-abrir-vaga-para-suplente/, Skaf: Temer me estimulou a ser candidato 
143,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/24/em-resposta-a-romario-tse-veta-reeleicao-de-senador-na-metade-do-mandato.htm,Band
144,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/24/ciro-gomes-nega-chapa-com-haddad-e-preciso-respeitar-o-tempo-do-pt.htm," Sem Lula, Bolsonaro e Alckmin estão empatados em SP, aponta Ibope "
145,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/04/24/ibope.htm,Estadão Conteúdo - Política
146,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/04/24/mpf-diz-que-lula-deve-ficar-na-pf-em-curitiba-por-questao-de-seguranca.htm," Imagem de Barbosa melhora em relação a março, aponta Ipsos "
147,http://www.band.com.br/noticias/eleicoes/conteudo.asp?ID=100000910825&t=ibope-veja-a-intencao-de-voto-dos-eleitores-para-governo-de-sao-paulo,Estadão Conteúdo - Política
148,https://noticias.uol.com.br/politica/ultimas-noticias/2018/04/24/temer-quer-sentir-diretorios-do-mdb-de-olho-em-eventual-candidatura.htm," Defensor da Lava Jato, Flávio Rocha doou para políticos investigados na Lava Jato "
149,https://www1.folha.uol.com.br/poder/2018/04/haddad-nega-articulacao-para-chapa-com-ciro.shtml,Congresso em Foco
150,http://congressoemfoco.uol.com.br/noticias/haddad-nega-ter-se-reunido-com-ciro-para-discutir-alianca-de-centro-esquerda-para-eleicoes/, O tratamento de Lula na prisão é igual ao de outros presos da Lava Jato no PR? 
151,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/24/marina-chama-de-atitude-irresponsavel-do-governo-projeto-de-temer-de-2016.htm,UOL Notícias - Política
152,http://www.band.com.br/noticias/eleicoes/conteudo.asp?ID=100000910720&t=fux-se-resultado-for-fruto-de-fake-news-eleicoes-podem-ser-anuladas, Ciro Gomes nega chapa com Haddad: 'É preciso respeitar o tempo do PT' 
153,http://www.band.com.br/noticias/eleicoes/conteudo.asp?ID=100000910715&t=temos-condicoes-de-ir-ao-2-turno-afirma-luiz-marinho,Band
154,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/24/se-resultado-da-eleicao-for-fruto-de-fake-news-pode-ser-anulado-diz-fux.htm, TSE proíbe Romário de concorrer ao Senado na metade do mandato. Ideia era abrir vaga para suplente 
155,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/24/radicais-chamam-mais-atencao-na-pre-campanha-afirma-meirelles.htm,Congresso em Foco
156,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/24/temer-tenta-ponte-com-o-psdb-skaf-reage-em-sp.htm," Em resposta a Romário, TSE veta reeleição de senador na metade do mandato "
157,https://noticias.uol.com.br/politica/ultimas-noticias/2018/04/24/barbosa-pode-ser-o-1-ministro-do-stf-a-disputar-presidencia-da-republica.htm,Estadão Conteúdo - Política
158,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/04/23/alckmin-diz-estar-tentando-afunilar-candidaturas-para-chegar-ao-2-turno.htm," Ciro Gomes nega chapa com Haddad: ""É preciso respeitar o tempo do PT"" "
159,http://www.band.com.br/noticias/eleicoes/conteudo.asp?ID=100000910644&t=pt-reafirma-candidatura-de-lula-para-presidente-da-republica,Estadão Conteúdo - Política
160,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/04/23/pt-diz-que-lancara-programa-de-governo-de-lula-nas-proximas-semanas.htm," PT diz que lançará programa de governo de Lula ""nas próximas semanas"" "
161,https://noticias.uol.com.br/politica/ultimas-noticias/2018/04/23/dilma-e-barrada-ao-tentar-visitar-lula-na-prisao.htm,do UOL
162,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/23/pt-pode-ficar-a-vontade-para-decidir-sobre-candidatura-diz-lula-em-carta.htm," Barrada ao tentar visitar Lula, Dilma cita ditadura e diz que prisão continua ""golpe"" "
